cik,accession,form,filing_date,report_date,primary_document,filing_id
0000320193,0000320193-26-000006,10-Q,2026-01-30,2025-12-27,aapl-20251227.htm,1
0000320193,0000320193-26-000005,8-K,2026-01-29,2026-01-29,aapl-20260129.htm,2
0000320193,0001140361-26-000199,8-K,2026-01-02,2025-12-30,ef20060722_8k.htm,3
0000320193,0001140361-25-044561,8-K,2025-12-05,2025-12-04,ef20060722_8k.htm,4
0000320193,0000320193-25-000079,10-K,2025-10-31,2025-09-27,aapl-20250927.htm,5
0000320193,0000320193-25-000077,8-K,2025-10-30,2025-10-30,aapl-20251030.htm,6
0000320193,0000320193-25-000073,10-Q,2025-08-01,2025-06-28,aapl-20250628.htm,7
0000320193,0000320193-25-000071,8-K,2025-07-31,2025-07-31,aapl-20250731.htm,8
0000320193,0001140361-25-027340,8-K,2025-07-25,2025-07-21,ef20052355_8k.htm,9
0000320193,0001140361-25-025275,8-K,2025-07-09,2025-07-08,ef20051741_8k.htm,10
0000320193,0001140361-25-018400,8-K,2025-05-12,2025-05-05,ef20048691_8k.htm,11
0000320193,0000320193-25-000057,10-Q,2025-05-02,2025-03-29,aapl-20250329.htm,12
0000789019,0001193125-26-027207,10-Q,2026-01-28,2025-12-31,msft-20251231.htm,13
0000789019,0001193125-26-027198,8-K,2026-01-28,2026-01-28,msft-20260128.htm,14
0000789019,0001193125-25-311196,8-K,2025-12-08,2025-12-05,d34077d8k.htm,15
0001018724,0001104659-25-114647,8-K,2025-11-20,2025-11-20,tm2530638d3_8k.htm,16
0001018724,0001018724-25-000123,10-Q,2025-10-31,2025-09-30,amzn-20250930.htm,17
0001018724,0001018724-25-000121,8-K,2025-10-30,2025-10-30,amzn-20251030.htm,18
0001326801,0001628280-26-003942,10-K,2026-01-29,2025-12-31,meta-20251231.htm,19
0001326801,0001628280-26-003832,8-K,2026-01-28,2026-01-28,meta-20260128.htm,20
0001326801,0001628280-26-002429,8-K,2026-01-16,2026-01-12,meta-20260112.htm,21
0001326801,0001628280-25-058337,8-K,2025-12-19,2025-12-19,meta-20251219.htm,22
0001326801,0001628280-25-056768,8-K,2025-12-12,2025-12-05,meta-20251205.htm,23
0001045810,0001045810-26-000003,8-K,2026-01-23,2026-01-20,nvda-20260120.htm,24
0001045810,0001045810-25-000230,10-Q,2025-11-19,2025-10-26,nvda-20251026.htm,25
0001045810,0001045810-25-000228,8-K,2025-11-19,2025-11-19,nvda-20251119.htm,26
0001403161,0001403161-26-000045,10-Q,2026-01-30,2025-12-31,v-20251231.htm,27
0001403161,0001403161-26-000044,8-K,2026-01-29,2026-01-27,v-20260127.htm,28
0001403161,0001403161-26-000029,8-K,2026-01-28,2026-01-27,v-20260127.htm,29
0001403161,0001403161-25-000137,8-K,2025-12-30,2025-12-30,v-20251230.htm,30
0001403161,0001403161-25-000134,8-K,2025-12-23,2025-12-23,v-20251223.htm,31
0001403161,0001403161-25-000093,8-K,2025-11-10,2025-11-10,v-20251110.htm,32
0001403161,0001403161-25-000089,10-K,2025-11-06,2025-09-30,v-20250930.htm,33
0000310158,0001628280-25-055388,8-K,2025-12-04,2025-12-04,mrk-20251204.htm,34
0000310158,0000310158-25-000059,10-Q,2025-11-05,2025-09-30,mrk-20250930.htm,35
0000310158,0001104659-25-103974,8-K,2025-10-30,2025-10-30,tm2529620d1_8k.htm,36
0000310158,0000310158-25-000047,8-K,2025-09-09,2025-09-09,mrk-20250909.htm,37
0000310158,0000310158-25-000014,10-Q,2025-08-05,2025-06-30,mrk-20250630.htm,38
0000310158,0001104659-25-071380,8-K,2025-07-29,2025-07-25,tm2521736d1_8k.htm,39
0000078003,0000078003-25-000167,8-K,2025-12-16,2025-12-16,pfe-20251216.htm,40
0000078003,0001193125-25-291406,8-K,2025-11-21,2025-11-18,d80089d8k.htm,41
0000078003,0000078003-25-000159,8-K,2025-11-13,2025-11-13,pfe-20251113.htm,42
0000078003,0000078003-25-000150,10-Q,2025-11-04,2025-09-28,pfe-20250928.htm,43
0000078003,0000078003-25-000149,8-K,2025-11-04,2025-11-04,pfe-20251104.htm,44
0000078003,0000078003-25-000138,10-Q,2025-08-05,2025-06-29,pfe-20250629.htm,45
0000078003,0000078003-25-000136,8-K,2025-08-05,2025-08-05,pfe-20250805.htm,46
0001551152,0001551152-26-000002,8-K,2026-01-07,2026-01-07,abbv-20260107.htm,47
0001551152,0001551152-25-000049,10-Q,2025-11-04,2025-09-30,abbv-20250930.htm,48
0001551152,0001551152-25-000047,8-K,2025-10-31,2025-10-31,abbv-20251031.htm,49
0001551152,0001551152-25-000043,8-K,2025-10-03,2025-10-03,abbv-20251003.htm,50
0001551152,0001104659-25-089245,8-K,2025-09-11,2025-09-11,tm2525781d1_8k.htm,51
0001551152,0001551152-25-000040,10-Q,2025-08-04,2025-06-30,abbv-20250630.htm,52
0001551152,0001551152-25-000036,8-K,2025-07-31,2025-07-31,abbv-20250731.htm,53
0001551152,0001551152-25-000034,8-K,2025-07-03,2025-07-03,abbv-20250703.htm,54
0001551152,0001104659-25-047402,8-K,2025-05-13,2025-05-08,tm2513856d1_8k.htm,55
0001551152,0001551152-25-000029,10-Q,2025-05-09,2025-03-31,abbv-20250331.htm,56
0001551152,0001551152-25-000026,8-K,2025-04-25,2025-04-25,abbv-20250425.htm,57
0001551152,0001551152-25-000023,8-K,2025-04-03,2025-04-03,abbv-20250403.htm,58
0000064803,0000064803-25-000082,8-K,2025-12-09,2025-12-09,cvs-20251209.htm,59
0000064803,0001193125-25-289805,8-K,2025-11-20,2025-11-20,d172430d8k.htm,60
0000064803,0000064803-25-000037,10-Q,2025-10-29,2025-09-30,cvs-20250930.htm,61
0000064803,0000064803-25-000036,8-K,2025-10-29,2025-10-29,cvs-20251029.htm,62
0000064803,0001193125-25-211349,8-K,2025-09-22,2025-09-22,d57621d8k.htm,63
0000064803,0001193125-25-181862,8-K,2025-08-15,2025-08-11,d32562d8k.htm,64
0000064803,0000064803-25-000024,10-Q,2025-07-31,2025-06-30,cvs-20250630.htm,65
