raw_concept,canonical_metric,category
Revenues,revenue,Income Statement
RevenueFromContractWithCustomerExcludingAssessedTax,revenue,Income Statement
SalesRevenueNet,revenue,Income Statement
RevenuesNetOfInterestExpense,revenue,Income Statement
CostOfGoodsAndServicesSold,cost_of_revenue,Income Statement
CostOfRevenue,cost_of_revenue,Income Statement
CostOfGoodsSold,cost_of_revenue,Income Statement
GrossProfit,gross_profit,Income Statement
OperatingIncomeLoss,operating_income,Income Statement
OperatingIncome,operating_income,Income Statement
NetIncomeLoss,net_income,Income Statement
NetIncome,net_income,Income Statement
ProfitLoss,net_income,Income Statement
EarningsPerShareDiluted,eps,Income Statement
EarningsPerShareBasic,eps,Income Statement
Assets,assets,Balance Sheet
Liabilities,liabilities,Balance Sheet
StockholdersEquity,equity,Balance Sheet
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,equity,Balance Sheet
CashAndCashEquivalentsAtCarryingValue,cash,Balance Sheet
Cash,cash,Balance Sheet
AssetsCurrent,current_assets,Balance Sheet
LiabilitiesCurrent,current_liabilities,Balance Sheet
NetCashProvidedByUsedInOperatingActivities,operating_cash_flow,Cash Flow
NetCashProvidedByUsedInInvestingActivities,investing_cash_flow,Cash Flow
NetCashProvidedByUsedInFinancingActivities,financing_cash_flow,Cash Flow
PaymentsToAcquirePropertyPlantAndEquipment,capex,Cash Flow
