cik,ticker,taxonomy,concept,unit,value,period_start,period_end,accession,fiscal_year,fiscal_period,form,filed,period_type,canonical_metric,fact_id,company_id
320193,AAPL,us-gaap,AccountsPayable,USD,5520000000.0,,2008-09-27,0001193125-09-153165,2009.0,Q3,10-Q,2009-07-22,instant,,7b33ca2d17a297b1,1
320193,AAPL,us-gaap,AccountsPayable,USD,4854000000.0,,2009-06-27,0001193125-09-153165,2009.0,Q3,10-Q,2009-07-22,instant,,36faaddc02c58d95,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,5520000000.0,,2008-09-27,0001193125-09-214859,2009.0,FY,10-K,2009-10-27,instant,,51617cf7979a91e7,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,5520000000.0,,2008-09-27,0001193125-10-012091,2009.0,FY,10-K/A,2010-01-25,instant,,ccc82240a43ae9b5,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,5601000000.0,,2009-09-26,0001193125-09-214859,2009.0,FY,10-K,2009-10-27,instant,,e3a2b97ecd451dc2,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,5601000000.0,,2009-09-26,0001193125-10-012085,2010.0,Q1,10-Q,2010-01-25,instant,,b74eee2ca9f22722,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,5601000000.0,,2009-09-26,0001193125-10-012091,2009.0,FY,10-K/A,2010-01-25,instant,,bf886508cce89f8b,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,5601000000.0,,2009-09-26,0001193125-10-088957,2010.0,Q2,10-Q,2010-04-21,instant,,2f2743b967ce5106,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,5601000000.0,,2009-09-26,0001193125-10-162840,2010.0,Q3,10-Q,2010-07-21,instant,,7d099774a0682006,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,5601000000.0,,2009-09-26,0001193125-10-238044,2010.0,FY,10-K,2010-10-27,instant,,b595f9ae8f8fda5d,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,6511000000.0,,2009-12-26,0001193125-10-012085,2010.0,Q1,10-Q,2010-01-25,instant,,9f5752162b2a36ea,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,5666000000.0,,2010-03-27,0001193125-10-088957,2010.0,Q2,10-Q,2010-04-21,instant,,1c7b7faa641a35a0,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,8469000000.0,,2010-06-26,0001193125-10-162840,2010.0,Q3,10-Q,2010-07-21,instant,,6adf731a6d0e6ce6,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,12015000000.0,,2010-09-25,0001193125-10-238044,2010.0,FY,10-K,2010-10-27,instant,,59da675a8f588c17,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,12015000000.0,,2010-09-25,0001193125-11-010144,2011.0,Q1,10-Q,2011-01-19,instant,,7feb7c85e5ffea25,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,12015000000.0,,2010-09-25,0001193125-11-104388,2011.0,Q2,10-Q,2011-04-21,instant,,7cefec0e30248335,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,12015000000.0,,2010-09-25,0001193125-11-192493,2011.0,Q3,10-Q,2011-07-20,instant,,265333460cfed1c4,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,12015000000.0,,2010-09-25,0001193125-11-282113,2011.0,FY,10-K,2011-10-26,instant,,44216d7d893a6615,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,14301000000.0,,2010-12-25,0001193125-11-010144,2011.0,Q1,10-Q,2011-01-19,instant,,2ef55471244247e9,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,13714000000.0,,2011-03-26,0001193125-11-104388,2011.0,Q2,10-Q,2011-04-21,instant,,0db32cbb766b3609,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,15270000000.0,,2011-06-25,0001193125-11-192493,2011.0,Q3,10-Q,2011-07-20,instant,,e477e6d98e8d3f42,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,14632000000.0,,2011-09-24,0001193125-11-282113,2011.0,FY,10-K,2011-10-26,instant,,10ee4add3359dec2,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,14632000000.0,,2011-09-24,0001193125-12-023398,2012.0,Q1,10-Q,2012-01-25,instant,,4cc365201f7c1876,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,14632000000.0,,2011-09-24,0001193125-12-182321,2012.0,Q2,10-Q,2012-04-25,instant,,6e519581ff4dabcd,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,14632000000.0,,2011-09-24,0001193125-12-314552,2012.0,Q3,10-Q,2012-07-25,instant,,c0d37c96f9f461c8,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,14632000000.0,,2011-09-24,0001193125-12-444068,2012.0,FY,10-K,2012-10-31,instant,,1515e8ddeb8f939a,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,14632000000.0,,2011-09-24,0001193125-13-170623,2012.0,FY,8-K,2013-04-24,instant,,e7f490e74f7a69d2,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,18221000000.0,,2011-12-31,0001193125-12-023398,2012.0,Q1,10-Q,2012-01-25,instant,,be990b7f6da28c6f,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,17011000000.0,,2012-03-31,0001193125-12-182321,2012.0,Q2,10-Q,2012-04-25,instant,,d6a830f2b7f076d3,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,16808000000.0,,2012-06-30,0001193125-12-314552,2012.0,Q3,10-Q,2012-07-25,instant,,df2f46623d02f905,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,21175000000.0,,2012-09-29,0001193125-12-444068,2012.0,FY,10-K,2012-10-31,instant,,6eb80300c393cbb5,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,21175000000.0,,2012-09-29,0001193125-13-022339,2013.0,Q1,10-Q,2013-01-24,instant,,1c574885fe9a271f,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,21175000000.0,,2012-09-29,0001193125-13-168288,2013.0,Q2,10-Q,2013-04-24,instant,,22292e071b3cb691,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,21175000000.0,,2012-09-29,0001193125-13-170623,2012.0,FY,8-K,2013-04-24,instant,,28fa090065e44bbf,1
320193,AAPL,us-gaap,AccountsPayableCurrent,USD,21175000000.0,,2012-09-29,0001193125-13-300670,2013.0,Q3,10-Q,2013-07-24,instant,,f4ae5d858637a260,1
