Date,Issuer,Agency,Action_Type,Fine_Amount,Issue_Category
2023-05-01 05:42:13.745681,Capital One,OCC,Consent Order,100000000.0,UDAP
2020-03-24 05:42:13.745723,Capital One,CFPB,Consent Order,10000000.0,Collection Practices
2020-12-07 05:42:13.745744,Capital One,Fed,Restitution,1000000.0,UDAP
2018-04-04 05:42:13.745762,Capital One,CFPB,Consent Order,10000000.0,Collection Practices
2024-04-24 05:42:13.745778,Capital One,Fed,CMP,5000000.0,Fraud Protection
2017-09-07 05:42:13.745795,Capital One,CFPB,Restitution,100000000.0,Fraud Protection
2023-03-20 05:42:13.745810,Capital One,State AG,CMP,500000.0,Fraud Protection
2018-10-08 05:42:13.745826,Capital One,Fed,CMP,0.0,Fee Complaints
2025-03-07 05:42:13.745842,Capital One,CFPB,CMP,5000000.0,Fraud Protection
2023-09-18 05:42:13.745859,Synchrony,State AG,Restitution,10000000.0,Fee Complaints
2017-01-13 05:42:13.745875,Synchrony,CFPB,Restitution,25000000.0,Interest Rate Issues
2024-10-28 05:42:13.745890,Synchrony,CFPB,Consent Order,1000000.0,Fee Complaints
2021-07-22 05:42:13.745905,Synchrony,Fed,CMP,25000000.0,UDAP
2016-04-21 05:42:13.745921,Synchrony,State AG,CMP,10000000.0,Interest Rate Issues
2024-01-09 05:42:13.745936,Synchrony,Fed,Restitution,5000000.0,Billing Disputes
2017-03-08 05:42:13.745953,Discover,State AG,Consent Order,5000000.0,Credit Reporting
2018-04-10 05:42:13.745968,Discover,Fed,Consent Order,5000000.0,Disclosure Violations
2025-12-19 05:42:13.745983,Discover,OCC,Consent Order,5000000.0,Interest Rate Issues
2021-09-27 05:42:13.745998,Discover,State AG,Consent Order,1000000.0,Account Management
2024-01-03 05:42:13.746013,Discover,OCC,Consent Order,5000000.0,Fee Complaints
2022-10-26 05:42:13.746029,Discover,CFPB,CMP,0.0,Collection Practices
2020-07-16 05:42:13.746045,AmEx,Fed,Restitution,1000000.0,Interest Rate Issues
2020-10-03 05:42:13.746060,AmEx,CFPB,Restitution,10000000.0,Account Management
2016-03-12 05:42:13.746075,AmEx,State AG,CMP,5000000.0,Account Management
2016-05-23 05:42:13.746090,AmEx,CFPB,Consent Order,500000.0,Credit Reporting
