Date,Issuer,Complaint_Count,Resolved_Pct,Avg_Resolution_Days,Monetary_Relief,Complaints_7d,Complaints_30d,Resolution_Score,Speed_Score,Compliance_Score
2016-02-03 05:42:07.872292,AmEx,94,0.9098380869397608,16.303571428571427,29200,,,90.98380869397607,72.82738095238096,
2016-02-04 05:42:07.872292,AmEx,64,0.9119629145323195,17.916666666666668,18650,,,91.19629145323195,70.13888888888889,
2016-02-05 05:42:07.872292,AmEx,67,0.9172803053914556,16.375,21400,,,91.72803053914555,72.70833333333334,
2016-02-06 05:42:07.872292,AmEx,2,0.8981378190945095,19.5,300,,,89.81378190945095,67.5,
2016-02-08 05:42:07.872292,AmEx,65,0.919927178909704,16.17391304347826,17300,,,91.9927178909704,73.04347826086956,
2016-02-09 05:42:07.872292,AmEx,85,0.9055493576335493,17.115384615384617,26100,,,90.55493576335493,71.47435897435898,
2016-02-10 05:42:07.872292,AmEx,80,0.9170851238080653,15.11320754716981,26850,457.0,,91.70851238080652,74.81132075471697,
2016-02-11 05:42:07.872292,AmEx,86,0.9116904893479052,17.272727272727273,30050,449.0,,91.16904893479052,71.21212121212122,
2016-02-12 05:42:07.872292,AmEx,92,0.9087692418683102,16.72222222222222,25650,477.0,,90.87692418683102,72.12962962962963,
2016-02-15 05:42:07.872292,AmEx,99,0.9009783217085792,16.12727272727273,30650,509.0,,90.09783217085791,73.12121212121212,
2016-02-16 05:42:07.872292,AmEx,67,0.9058245796774217,16.404255319148938,19150,574.0,,90.58245796774217,72.65957446808511,
2016-02-17 05:42:07.872292,AmEx,79,0.9168356235573549,16.941176470588236,32100,588.0,,91.68356235573549,71.76470588235294,
2016-02-18 05:42:07.872292,AmEx,96,0.9028903084816297,17.413793103448278,22900,599.0,,90.28903084816297,70.97701149425288,
2016-02-19 05:42:07.872292,AmEx,71,0.9206525906189632,17.653061224489797,24850,590.0,,92.06525906189633,70.578231292517,
2016-02-22 05:42:07.872292,AmEx,76,0.9214850103872737,16.636363636363637,16600,580.0,,92.14850103872737,72.27272727272728,
2016-02-23 05:42:07.872292,AmEx,84,0.9120922868420217,16.19298245614035,24200,572.0,,91.20922868420217,73.01169590643275,
