award_id,award_amount,total_outlays,start_date,end_date,naics_code,naics_description,psc_code,psc_description,description,fiscal_year,fiscal_quarter,record_hash,internal_id,generated_internal_id,agency_id,recipient_id
ZSMG,7112.26,,2018-02-02,2019-03-20,,,,,LEASE OF CONTAINERS FOR CONUS/OCONUS DELIVERY,2018,2,7cdbe9782542f320,350871436,CONT_AWD_ZSMG_9700_HTC71114DR027_9700,1,1
ZS02,778334.57,,2016-08-31,2023-08-30,,,,,IGF::OT::IGF LEASE OF MULTIFUNCTIONAL DEVICES FOR TYAD,2016,4,9a0abdfafc638d11,350866252,CONT_AWD_ZS02_9700_W9124A14D0001_9700,1,2
ZN31,463050.0,,2017-03-31,2017-06-01,,,,,"HPELITE DESKTOP PC ACCESSORIES, AND HP MONITOR FFP CHESS ORDER",2017,2,019884826cb1e0de,350861021,CONT_AWD_ZN31_9700_W91QUZ06D0004_9700,1,3
ZL57,11303606.44,,2015-04-30,2016-09-21,,,,,IGF::OT::IGF,2015,3,4e4fd0a5f30f7efd,350858882,CONT_AWD_ZL57_9700_H9222210D0017_9700,2,4
ZL54,1890557.18,,2012-09-12,2016-09-23,,,,,FFP BASE PERIOD,2012,4,e1b086dac3ea54d3,350858850,CONT_AWD_ZL54_9700_H9222210D0019_9700,2,5
ZL50,243702.71,,2015-09-11,2016-03-11,,,,,IGF::OT::IGF,2015,4,241c3d4a8d8111b0,350858801,CONT_AWD_ZL50_9700_N0024412D0016_9700,2,6
ZL06,353454.89,,2015-03-31,2018-03-31,,,,,IGF::OT::IGF WIRELESS SERVICES,2015,2,4adda56dcd413580,350858357,CONT_AWD_ZL06_9700_N0024412D0014_9700,2,7
ZL01,41772.06,,2016-07-29,2016-09-30,,,,,5-DAY CISM TRAINING ''IGF::CL::IGF'',2016,4,a30b259eda175d7a,350858185,CONT_AWD_ZL01_9700_H9224015A0001_9700,2,8
ZB38,208789.2,,2017-06-30,2023-05-31,,,,,"DELIVERY ORDER FOR AIRCRAFT SKIN, NSN: 1560-01-579-9818",2017,3,45576181f5efaadc,350844519,CONT_AWD_ZB38_9700_SPE4AX15D9423_9700,3,9
Z6V9,1841.51,,2016-09-28,2017-03-27,,,,,"8503694582!CHANNEL,AIRCRAFT",2016,4,3e83bbce5af2a09e,350833862,CONT_AWD_Z6V9_9700_SPRPA115G004Y_9700,3,9
Z6GB,607200.0,,2016-03-30,2023-12-20,,,,,"8503041405!COVER,ACCESS",2016,2,f0aad5182d6bca27,350829816,CONT_AWD_Z6GB_9700_SPRPA115G001Z_9700,3,10
Z61H,16416.33,,2012-11-08,2013-12-02,,,,,8500090035!SUPPORT ASSEMBLY,2013,1,5d30aeae391816ff,350821831,CONT_AWD_Z61H_9700_FA822408G0001_9700,3,11
Z60Z,1335865.85,,2013-12-02,2025-07-04,,,,,"8500492854!SPACER,COMPRESS0R",2014,1,ecdd061adef18cbf,350821311,CONT_AWD_Z60Z_9700_N0038313G002M_9700,3,12
Z602,1143643.7,,2012-01-14,2014-01-30,,,,,"8500010167!RETAINER,COMPRESSOR",2012,2,2c4f37c9d691d0dd,350820750,CONT_AWD_Z602_9700_N0038312G001M_9700,3,13
Z594,975413.52,,2016-12-01,2023-02-07,,,,,F/A-18 A-D AND E/F MODIFICATIONS,2017,1,19f7db26bfa11f11,350820066,CONT_AWD_Z594_9700_N0001914D0001_9700,4,14
Z556,11947455.4,,2015-09-29,2024-07-31,,,,,F/A-18 A-D AND E/F MODIFICATIONS,2015,4,95334625020f442b,350819270,CONT_AWD_Z556_9700_N0001914D0001_9700,4,14
Z553,0.0,,2016-11-02,2017-09-30,,,,,IGF::CT::IGF T-45 U.S.N. AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT (CLS),2017,1,dca3e2145558e478,350819212,CONT_AWD_Z553_9700_N0001914D0011_9700,4,15
Z551,805274.07,,2016-11-02,2019-02-28,,,,,IGF::CT::IGF T-45 U.S.N. AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT (CLS),2017,1,ccf658a95a509b05,350819165,CONT_AWD_Z551_9700_N0001914D0011_9700,4,15
Z550,36888880.81,,2016-10-28,2017-05-31,,,,,"THE NAVAL AIR SYSTEMS COMMAND (NAVAIR) HAS A REQUIREMENT TO PROVIDE TH-57 CONTRACTOR LOGISTICS SUPPORT (CLS), WHICH CONSISTS OF ALL LOGISTICS SERVICES AND MATERIALS FOR ORGANIZATIONAL AND DEPOT LEVEL SERVICES REQUIRED TO SUPPORT AND MAINTAIN THE TH-57 FLEET. IGF::CT::IGF",2017,1,f0789714ac47c0d3,350819137,CONT_AWD_Z550_9700_N0001913D0007_9700,4,16
Z549,0.0,,2016-10-25,2017-09-30,,,,,IGF::CT::IGF T-45 U.S.N. AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT (CLS),2017,1,91c284f4ec1214e9,350819110,CONT_AWD_Z549_9700_N0001914D0011_9700,4,15
Z548,12323288.24,,2016-10-25,2019-09-30,,,,,IGF::CT::IGF T-45 U.S.N. AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT (CLS),2017,1,ea0131d697ef20d7,350819084,CONT_AWD_Z548_9700_N0001914D0011_9700,4,15
Z528,3257976.0,,2013-06-03,2024-01-26,,,,,T-34/T-44/T-6 CLS,2013,3,f3c68c374a40a6a9,350818541,CONT_AWD_Z528_9700_N0001913D0003_9700,4,17
Z525,355432.03,,2013-04-30,2024-01-26,,,,,T-34/T-44/T-6 CLS,2013,3,96c7f438016ac4b3,350818449,CONT_AWD_Z525_9700_N0001913D0003_9700,4,17
Z521,513185.59,,2013-04-05,2024-01-26,,,,,T-34/T-44/T-6 CLS,2013,3,3f214be6bde23e31,350818320,CONT_AWD_Z521_9700_N0001913D0003_9700,4,17
Z518,322553.22,,2014-05-28,2025-10-30,,,,,F/A-18 A-D AND E/F MODIFICATIONS,2014,3,dbf2da2d12e680bb,350818236,CONT_AWD_Z518_9700_N0001914D0001_9700,4,14
Z515,2016112.95,,2006-02-08,2024-10-02,,,,,REPAIR/OVERHAUL,2006,2,cbc4d726b011d0af,350818140,CONT_AWD_Z515_9700_N0014005D0882_9700,4,18
Z513,3858884.44,,2014-02-20,2025-10-30,,,,,F/A-18 A-D AND E/F MODIFICATIONS,2014,2,b0e6fc32d187fe4b,350818069,CONT_AWD_Z513_9700_N0001914D0001_9700,4,14
Z504,40840821.11,,2014-12-08,2018-06-28,,,,,IGF::CT::IGF - T34/T44/T6 AIRCRAFT MAINTENANCE AND CONTRACTOR LOGISITCS SUPPORT (CLS),2015,1,132b62deb8c44534,350817717,CONT_AWD_Z504_9700_N0001915D0003_9700,4,19
