recipient_name,uei,recipient_id
TEXTAINER EQUIPMENT MANAGEMENT (U.S.) LIMITED,TPBMWME22LT3,1
XEROX CORP,GK1MRK2WPM88,2
HPI FEDERAL LLC,DJRUN4KK1HK3,3
"CACI-WGI, LLC",RKMMJN2RZWY3,4
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",NYM8TAUFLXP3,5
CELLCO PARTNERSHIP,CK77N4SCAJD3,6
"NEW CINGULAR WIRELESS SERVICES, INC.",E5FGYCH7UWL6,7
ULTIMATE KNOWLEDGE CORPORATION,MQ1TKVG8MN89,8
SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,9
NORTHROP GRUMMAN SYSTEMS CORPORATION,T9XKQSKMW4J1,10
LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,11
ROLLS-ROYCE PLC,HEF8WMZMYL83,12
RTX CORPORATION,QN1BCFY7JDJ5,13
THE BOEING COMPANY,LYL4E7AZMKN7,14
VERTEX AEROSPACE LLC,NVC1EFKKYB93,15
VERTEX AEROSPACE LLC,CDWHLNLYJHX1,16
BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,LX3BSV6NNW58,17
NORTHROP GRUMMAN SYSTEMS CORPO,S8PSXLJ8FEG3,18
DYNCORP INTERNATIONAL LLC,ML6KL68PHMK3,19
NORTHROP GRUMMAN SYSTEMS CORPORATION,CVVQTAJH4M68,20
HAMILTON SUNDSTRAND CORPORATION,JC42EBJ5NFJ1,21
THE BOEING COMPANY,MF2LE5RK6L84,22
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,23
"L3HARRIS TECHNOLOGIES, INC",N91TELG3HNB6,24
CFM INTERNATIONAL INC,Q6HPK83NVT26,25
THE BOEING COMPANY,WZWRLY4G3PL8,26
NORTHROP GRUMMAN SYSTEMS CORPORATION,DJUCEANK2KP4,27
RTX CORPORATION,NHXNJALUN738,28
BAE SYSTEMS PLC,E5K9VR2A1MW9,29
"GENERAL DYNAMICS MISSION SYSTEMS, INC.",LKMMNBMPUNH7,30
"APPTIS, INC.",M2AMDGJEEL43,31
"CH2M HILL, INC",NBG7N3TRX7K4,32
CDM - AECOM MULTIMEDIA JOINT VENTURE,ESUJZMQ31NA5,33
TETRA TECH INC,HVDMNK1MYQN3,34
RESOLUTION CONSULTANTS - AN AECOM-ENSAFE JOINT VENTURE,D9T3MHGZHJA4,35
"APTIM FEDERAL SERVICES, LLC",JT9NZ8J1KQF5,36
"TETRA TECH EC, INC.",C48BDZT15AM8,37
BAKER-TETRA TECH JV,X2PZSNN7K1Z7,38
AGVIQ LLC,X9L5ELCMLLM7,39
RLF AND SHERLOCK SMITH AND ADAMS JV,UU2CGXPBLSD6,40
"FRANKIE FRIEND & ASSOCIATES, INC.",JTHSG5BVEML5,41
SIKORSKY SUPPORT SERVICES INC,DGMPAHA84UF3,42
"SIKORSKY SUPPORT SERVICES, INC.",KN7VVKJ5MBY5,43
"SOUND DECISIONS, LLC",N9NGELME86W3,44
PARLIAMENT LLC,DMEAS1ZSTVY8,45
SAVOIR FAIRE SERVICES LLC,SR6MM3EU2WJ3,46
ULTRAX AEROSPACE INC,JJ9YKA8NYKY4,47
POINT SECURITY INC,CHL6GL3ZYQM7,48
ALASKA BROADCASTERS ASSOCIATION INC,C534UUFFDQ75,49
"CREST PRECAST, INC.",NMG8MWCVLN28,50
GREG RANKIN,KGD4CVFTJ5W4,51
SOUTHWEST SOLUTIONS GROUP INC,K7LUUQKYNVH3,52
CAMP FIRE ALASKA,JX9FBNTT57Q7,53
JSR BUSINESS SERVICES LLC,X8WADSC7ZCQ1,54
CITY OF CORDOVA,VNJGT8WJCYL5,55
"PRIORITY 1 AIR RESCUE OPERATIONS (ARIZONA), LP",UNHDEZJ7EP55,56
EMERGENCY RESPONSE TRAINING INSTITUTION LLC,MP1KECSCF9R3,57
"SUBWAY OF ALASKA, INC.",YQCHQNVYVW15,58
DELL FEDERAL SYSTEMS L.P,N1C5QLNPJLS4,59
HEWLETT PACKARD ENTERPRISE COMPANY,EFAJMASTF3J7,60
WORLD WIDE TECHNOLOGY LLC,C8VFSNKTMQB6,61
FEDBIZ IT SOLUTIONS LLC,TSL3JWEH5XX1,62
"BRICE ENGINEERING, LLC",WN2HXUFE4AA5,63
"BEACON OCCUPATIONAL HEALTH AND SAFETY SERVICES, INC.",DLD6KHKGP7A4,64
"BRICE SOLUTIONS, LLC",MHFCLKT3GAX9,65
AHTNA GLOBAL LLC,LRJXSN2LK315,66
PARAGON PROFESSIONAL SERVICES LLC,K8RNMK1CCQW3,67
PITNEY BOWES INC.,CHTAKEYGS386,68
CHENEGA RELIABLE SERVICES LLC,E6E1RHGUYLL6,69
JAY HENGES ENTERPRISES INC.,LH1XBUC6JDD5,70
"TODAY'S SOLUTIONS, LLC",DF3GD1U5KNE8,71
