Date,SEC_Actions,CFTC_Actions,State_Actions,Licenses_Granted,Compliance_Spend_M,Regulatory_Clarity_Score
2021-03-31 05:53:36.664141,8,2,4,7,113.05226063911289,50.08363261158467
2021-06-30 05:53:36.664141,2,0,1,10,186.10397652225694,50.203391039494235
2021-09-30 05:53:36.664141,3,3,6,11,160.16490099152637,59.10217194293269
2021-12-31 05:53:36.664141,3,0,3,12,194.25820751602726,34.21571669198305
2022-03-31 05:53:36.664141,4,1,5,9,84.19969226057334,35.72654912748629
2022-06-30 05:53:36.664141,6,2,5,9,122.20707242640837,41.984821349453526
2022-09-30 05:53:36.664141,1,2,4,9,121.21543236421036,53.33234858606849
2022-12-31 05:53:36.664141,1,1,4,15,178.08748973485902,34.08697364794467
2023-03-31 05:53:36.664141,2,1,9,7,153.95694348956488,51.98667514556974
2023-06-30 05:53:36.664141,4,1,5,11,149.6528153957051,36.131195207573676
2023-09-30 05:53:36.664141,5,1,9,11,102.19177893761716,54.72953586053614
2023-12-31 05:53:36.664141,2,2,3,6,162.55866913538557,41.69039518159113
2024-03-31 05:53:36.664141,2,2,6,10,138.60839160109884,46.024881382285976
2024-06-30 05:53:36.664141,5,1,6,7,86.2367383444374,50.81179165704594
2024-09-30 05:53:36.664141,1,2,3,8,129.73872479885316,51.85928350129636
2024-12-31 05:53:36.664141,0,3,4,9,55.11546927686958,48.36883317038408
2025-03-31 05:53:36.664141,4,2,4,11,139.59668583429274,56.7934733713348
2025-06-30 05:53:36.664141,0,1,6,7,147.80107870567014,56.62127641461699
2025-09-30 05:53:36.664141,4,5,2,13,97.87696715109517,30.17124834090782
2025-12-31 05:53:36.664141,2,2,2,7,50.354391424012775,40.7527820304786
