flight_date,carrier,carrier_name,flight_num,origin,origin_city,origin_state,dest,dest_city,dest_state,crs_dep_time,dep_delay,arr_delay,cancelled,diverted,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,distance,flight_id
2024-01-01,AS,Alaska Airlines,4709,DEN,Denver,CO,MIA,Miami,FL,705,12.0,15.0,0,0,,,,,,2487,1
2024-01-01,B6,JetBlue Airways,1476,LAX,Los Angeles,CA,SEA,Seattle,WA,835,59.0,65.0,0,0,,49.0,,,,1749,2
2024-01-01,WN,Southwest Airlines,5722,LAX,Los Angeles,CA,ORD,Chicago,IL,2350,8.0,9.0,0,0,,,,,,661,3
2024-01-01,AA,American Airlines,6180,ATL,Atlanta,GA,PHX,Phoenix,AZ,1805,-3.0,-7.0,0,0,,,,,,2234,4
2024-01-01,DL,Delta Air Lines,3761,DFW,Dallas,TX,PHX,Phoenix,AZ,1255,13.0,18.0,0,0,,,,,,1250,5
2024-01-01,B6,JetBlue Airways,5197,LAX,Los Angeles,CA,SEA,Seattle,WA,1705,-9.0,-11.0,0,0,,,,,,1803,6
2024-01-01,AS,Alaska Airlines,4198,JFK,New York,NY,LAX,Los Angeles,CA,2155,-8.0,-10.0,0,0,,,,,,1928,7
2024-01-01,F9,Frontier Airlines,3912,DEN,Denver,CO,LAX,Los Angeles,CA,1000,12.0,8.0,0,0,,,,,,1257,8
2024-01-01,WN,Southwest Airlines,9544,JFK,New York,NY,MIA,Miami,FL,735,-9.0,-8.0,0,0,,,,,,2277,9
2024-01-01,NK,Spirit Airlines,5890,MIA,Miami,FL,ORD,Chicago,IL,1650,-4.0,-5.0,0,0,,,,,,1412,10
2024-01-01,AA,American Airlines,4748,DFW,Dallas,TX,JFK,New York,NY,2010,-2.0,-1.0,0,0,,,,,,1993,11
2024-01-01,DL,Delta Air Lines,2119,JFK,New York,NY,ORD,Chicago,IL,615,12.0,17.0,0,0,,,,,,1261,12
2024-01-01,WN,Southwest Airlines,1276,LAX,Los Angeles,CA,SEA,Seattle,WA,630,-8.0,-10.0,0,0,,,,,,2808,13
2024-01-01,AS,Alaska Airlines,1243,SEA,Seattle,WA,ATL,Atlanta,GA,1345,14.0,19.0,0,0,,,,,,2006,14
2024-01-01,DL,Delta Air Lines,9235,JFK,New York,NY,MIA,Miami,FL,1005,4.0,1.0,0,0,,,,,,2406,15
2024-01-01,WN,Southwest Airlines,9580,SEA,Seattle,WA,JFK,New York,NY,1925,5.0,3.0,0,0,,,,,,1464,16
2024-01-01,AA,American Airlines,7290,DEN,Denver,CO,MIA,Miami,FL,640,107.0,96.0,0,0,58.0,,,,,303,17
2024-01-01,UA,United Airlines,682,DFW,Dallas,TX,PHX,Phoenix,AZ,1420,91.0,114.0,0,0,43.0,,,,,329,18
2024-01-01,UA,United Airlines,6398,PHX,Phoenix,AZ,SFO,San Francisco,CA,1950,54.0,61.0,0,0,24.0,,,,,537,19
2024-01-01,F9,Frontier Airlines,4768,DEN,Denver,CO,PHX,Phoenix,AZ,1150,3.0,0.0,0,0,,,,,,1798,20
2024-01-01,DL,Delta Air Lines,631,LAX,Los Angeles,CA,ATL,Atlanta,GA,1355,15.0,11.0,0,0,,,,,,2312,21
2024-01-01,UA,United Airlines,4199,PHX,Phoenix,AZ,LAX,Los Angeles,CA,1540,38.0,29.0,0,0,22.0,,,,,2923,22
2024-01-01,NK,Spirit Airlines,5658,DEN,Denver,CO,ATL,Atlanta,GA,1330,-7.0,-10.0,0,0,,,,,,422,23
2024-01-01,UA,United Airlines,7861,ATL,Atlanta,GA,SEA,Seattle,WA,955,54.0,63.0,0,0,18.0,,,,,702,24
2024-01-01,NK,Spirit Airlines,2474,MIA,Miami,FL,ATL,Atlanta,GA,1400,5.0,10.0,0,0,,,,,,888,25
2024-01-01,DL,Delta Air Lines,6284,ATL,Atlanta,GA,DEN,Denver,CO,910,-7.0,-6.0,0,0,,,,,,1913,26
2024-01-01,UA,United Airlines,5231,LAX,Los Angeles,CA,SFO,San Francisco,CA,1625,-10.0,-11.0,0,0,,,,,,1762,27
2024-01-01,F9,Frontier Airlines,4120,DFW,Dallas,TX,DEN,Denver,CO,1020,4.0,1.0,0,0,,,,,,1476,28
2024-01-01,AA,American Airlines,9829,DFW,Dallas,TX,DEN,Denver,CO,2105,1.0,3.0,0,0,,,,,,1669,29
2024-01-01,B6,JetBlue Airways,9061,DFW,Dallas,TX,PHX,Phoenix,AZ,2325,57.0,59.0,0,0,,,38.0,,,2037,30
2024-01-01,B6,JetBlue Airways,4027,DEN,Denver,CO,MIA,Miami,FL,1135,5.0,8.0,0,0,,,,,,597,31
2024-01-01,DL,Delta Air Lines,7019,ORD,Chicago,IL,SEA,Seattle,WA,1320,13.0,18.0,0,0,,,,,,492,32
2024-01-01,DL,Delta Air Lines,7979,MIA,Miami,FL,ORD,Chicago,IL,2005,-10.0,-8.0,0,0,,,,,,1322,33
2024-01-01,F9,Frontier Airlines,7621,LAX,Los Angeles,CA,ATL,Atlanta,GA,1435,186.0,236.0,0,0,152.0,,,,,2253,34
2024-01-01,AS,Alaska Airlines,3763,ATL,Atlanta,GA,PHX,Phoenix,AZ,1600,274.0,311.0,0,0,,86.0,,,,974,35
2024-01-01,F9,Frontier Airlines,2821,MIA,Miami,FL,SEA,Seattle,WA,1700,14.0,10.0,0,0,,,,,,2452,36
2024-01-01,B6,JetBlue Airways,2398,MIA,Miami,FL,ORD,Chicago,IL,1240,33.0,28.0,0,0,,,,,31.0,2007,37
2024-01-01,WN,Southwest Airlines,602,JFK,New York,NY,MIA,Miami,FL,2040,-3.0,-1.0,0,0,,,,,,2547,38
2024-01-01,UA,United Airlines,1927,LAX,Los Angeles,CA,ATL,Atlanta,GA,1405,1.0,-4.0,0,0,,,,,,2599,39
2024-01-01,B6,JetBlue Airways,9645,JFK,New York,NY,PHX,Phoenix,AZ,625,15.0,20.0,0,0,,,,,,2484,40
2024-01-01,F9,Frontier Airlines,5720,DFW,Dallas,TX,JFK,New York,NY,1030,-8.0,-13.0,0,0,,,,,,841,41
2024-01-01,AS,Alaska Airlines,6593,SEA,Seattle,WA,JFK,New York,NY,1540,,,1,0,,,,,,267,42
