cve_id,published,last_modified,cvss_v3,cvss_v2,severity,cwe_ids,description
CVE-2025-15418,2026-01-02T00:15:43.047,2026-01-06T15:06:20.447,3.3,1.7,LOW,CWE-404,"A security flaw has been discovered in Open5GS up to 2.7.6. Affected by this vulnerability is the function ogs_gtp2_parse_bearer_qos in the library lib/gtp/v2/types.c of the component Bearer QoS IE Length Handler. Performing manipulation results in denial of service. The attack must be initiated from a local position. The exploit has been released to the public and may be used for attacks. The patch is named 4e913d21f2c032b187815f063dbab5ebe65fe83a. To fix this issue, it is recommended to deploy"
CVE-2025-15419,2026-01-02T01:15:50.053,2026-01-06T15:04:24.860,3.3,1.7,LOW,CWE-404,A weakness has been identified in Open5GS up to 2.7.6. Affected by this issue is the function sgwc_s5c_handle_create_session_response of the file src/sgwc/s5c-handler.c of the component GTPv2-C Flow Handler. Executing a manipulation can lead to denial of service. The attack needs to be launched locally. The exploit has been made available to the public and could be used for attacks. This patch is called 5aaa09907e7b9e0a326265a5f08d56f54280b5f2. It is advisable to implement a patch to correct thi
CVE-2025-15420,2026-01-02T01:15:50.297,2026-01-06T17:50:39.360,7.3,7.5,HIGH,"CWE-74,CWE-89,CWE-89",A security vulnerability has been detected in Yonyou KSOA 9.0. This affects an unknown part of the file /worksheet/agent_work_report.jsp. The manipulation of the argument ID leads to sql injection. The attack can be initiated remotely. The exploit has been disclosed publicly and may be used. The vendor was contacted early about this disclosure but did not respond in any way.
CVE-2025-15421,2026-01-02T01:15:50.480,2026-01-15T16:39:36.063,7.3,7.5,HIGH,"CWE-74,CWE-89,CWE-89",A vulnerability was detected in Yonyou KSOA 9.0. This vulnerability affects unknown code of the file /worksheet/agent_worksadd.jsp of the component HTTP GET Parameter Handler. The manipulation of the argument ID results in sql injection. The attack can be launched remotely. The exploit is now public and may be used. The vendor was contacted early about this disclosure but did not respond in any way.
CVE-2025-15422,2026-01-02T02:15:39.867,2026-01-07T21:57:09.493,5.3,5.0,MEDIUM,CWE-693,A flaw has been found in EmpireSoft EmpireCMS up to 8.0. This issue affects the function egetip of the file e/class/connect.php of the component IP Address Handler. This manipulation causes protection mechanism failure. The attack may be initiated remotely. The exploit has been published and may be used. The vendor was contacted early about this disclosure but did not respond in any way.
CVE-2025-14047,2026-01-02T03:15:50.757,2026-01-02T16:45:26.640,5.3,,MEDIUM,CWE-862,"The Registration, User Profile, Membership, Content Restriction, User Directory, and Frontend Post Submission – WP User Frontend plugin for WordPress is vulnerable to unauthorized loss of data due to a missing capability check on the 'Frontend_Form_Ajax::submit_post' function in all versions up to, and including, 4.2.4. This makes it possible for unauthenticated attackers to delete attachment."
CVE-2025-14998,2026-01-02T03:15:50.940,2026-01-02T16:45:26.640,9.8,,CRITICAL,CWE-639,"The Branda plugin for WordPress is vulnerable to privilege escalation via account takeover in all versions up to, and including, 3.4.24. This is due to the plugin not properly validating a user's identity prior to updating their password. This makes it possible for unauthenticated attackers to change arbitrary user's passwords, including administrators, and leverage that to gain access to their account."
CVE-2025-15423,2026-01-02T03:15:51.090,2026-01-07T21:57:24.737,6.3,6.5,MEDIUM,"CWE-284,CWE-434,CWE-434",A vulnerability has been found in EmpireSoft EmpireCMS up to 8.0. Impacted is the function CheckSaveTranFiletype of the file e/class/connect.php. Such manipulation leads to unrestricted upload. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. The vendor was contacted early about this disclosure but did not respond in any way.
CVE-2025-15424,2026-01-02T03:15:51.270,2026-01-15T16:33:54.770,7.3,7.5,HIGH,"CWE-74,CWE-89,CWE-89",A vulnerability was found in Yonyou KSOA 9.0. The affected element is an unknown function of the file /worksheet/agent_worksdel.jsp of the component HTTP GET Parameter Handler. Performing manipulation of the argument ID results in sql injection. Remote exploitation of the attack is possible. The exploit has been made public and could be used. The vendor was contacted early about this disclosure but did not respond in any way.
CVE-2025-15425,2026-01-02T03:15:51.457,2026-01-15T16:36:01.447,7.3,7.5,HIGH,"CWE-74,CWE-89,CWE-89",A vulnerability was determined in Yonyou KSOA 9.0. The impacted element is an unknown function of the file /worksheet/del_user.jsp of the component HTTP GET Parameter Handler. Executing manipulation of the argument ID can lead to sql injection. The attack can be executed remotely. The exploit has been publicly disclosed and may be utilized. The vendor was contacted early about this disclosure but did not respond in any way.
CVE-2025-15426,2026-01-02T04:15:43.770,2026-01-02T16:45:26.640,7.3,7.5,HIGH,"CWE-284,CWE-434",A vulnerability was identified in jackying H-ui.admin up to 3.1. This affects an unknown function in the library /lib/webuploader/0.1.5/server/preview.php. The manipulation leads to unrestricted upload. The attack is possible to be carried out remotely. The exploit is publicly available and might be used. The vendor was contacted early about this disclosure but did not respond in any way.
CVE-2025-15427,2026-01-02T04:15:43.980,2026-01-29T10:15:51.830,7.3,7.5,HIGH,"CWE-74,CWE-89,CWE-89",A security flaw has been discovered in Seeyon Zhiyuan OA Web Application System up to 20251222. This impacts an unknown function of the file /carManager/carUseDetailList.j%73p. The manipulation of the argument CAR_BRAND_NO results in sql injection. The attack may be performed from remote. The exploit has been released to the public and may be used for attacks. The existence of this vulnerability is still disputed at present. Seeyon filed a report that this issue does not affect their product but
CVE-2025-15428,2026-01-02T05:15:43.710,2026-01-12T20:27:35.793,8.8,9.0,HIGH,"CWE-119,CWE-120",A weakness has been identified in UTT 进取 512W 1.7.7-171114. Affected is the function strcpy of the file /goform/formRemoteControl. This manipulation of the argument Profile causes buffer overflow. It is possible to initiate the attack remotely. The exploit has been made available to the public and could be used for attacks. The vendor was contacted early about this disclosure but did not respond in any way.
