period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,value,value-units
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",BAT,Battery storage,Arizona,Arizona,324,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",BAT,Battery storage,Central,Central,2692,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",BAT,Battery storage,Eastern,Eastern,5327,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",BAT,Battery storage,Mountain,Mountain,324,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",BAT,Battery storage,Pacific,Pacific,324,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",COL,Coal,Arizona,Arizona,244228,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",COL,Coal,Central,Central,244234,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",COL,Coal,Eastern,Eastern,244227,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",COL,Coal,Mountain,Mountain,244228,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",COL,Coal,Pacific,Pacific,244228,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Natural Gas,Arizona,Arizona,671648,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Natural Gas,Central,Central,668443,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Natural Gas,Eastern,Eastern,666314,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Natural Gas,Mountain,Mountain,671648,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Natural Gas,Pacific,Pacific,671648,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NUC,Nuclear,Arizona,Arizona,122968,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NUC,Nuclear,Central,Central,122968,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NUC,Nuclear,Eastern,Eastern,122969,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NUC,Nuclear,Mountain,Mountain,122968,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NUC,Nuclear,Pacific,Pacific,122968,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",OTH,Other,Arizona,Arizona,2217,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",OTH,Other,Central,Central,2209,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",OTH,Other,Eastern,Eastern,2200,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",OTH,Other,Mountain,Mountain,2217,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",OTH,Other,Pacific,Pacific,2217,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Arizona,Arizona,175355,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Central,Central,175355,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Eastern,Eastern,175355,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Mountain,Mountain,175355,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Pacific,Pacific,175355,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",WAT,Hydro,Arizona,Arizona,643,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",WAT,Hydro,Central,Central,643,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",WAT,Hydro,Eastern,Eastern,643,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",WAT,Hydro,Mountain,Mountain,643,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",WAT,Hydro,Pacific,Pacific,643,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",WND,Wind,Arizona,Arizona,185311,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",WND,Wind,Central,Central,180127,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",WND,Wind,Eastern,Eastern,174323,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",WND,Wind,Mountain,Mountain,185311,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",WND,Wind,Pacific,Pacific,185311,megawatthours
2026-01-30,ISNE,ISO New England,BAT,Battery storage,Arizona,Arizona,1001,megawatthours
2026-01-30,ISNE,ISO New England,BAT,Battery storage,Central,Central,1001,megawatthours
2026-01-30,ISNE,ISO New England,BAT,Battery storage,Eastern,Eastern,999,megawatthours
2026-01-30,ISNE,ISO New England,BAT,Battery storage,Mountain,Mountain,1001,megawatthours
2026-01-30,ISNE,ISO New England,BAT,Battery storage,Pacific,Pacific,1001,megawatthours
2026-01-30,ISNE,ISO New England,COL,Coal,Arizona,Arizona,0,megawatthours
2026-01-30,ISNE,ISO New England,COL,Coal,Central,Central,0,megawatthours
2026-01-30,ISNE,ISO New England,COL,Coal,Eastern,Eastern,0,megawatthours
2026-01-30,ISNE,ISO New England,COL,Coal,Mountain,Mountain,0,megawatthours
2026-01-30,ISNE,ISO New England,COL,Coal,Pacific,Pacific,0,megawatthours
2026-01-30,ISNE,ISO New England,NG,Natural Gas,Arizona,Arizona,134930,megawatthours
2026-01-30,ISNE,ISO New England,NG,Natural Gas,Central,Central,134930,megawatthours
2026-01-30,ISNE,ISO New England,NG,Natural Gas,Eastern,Eastern,135048,megawatthours
2026-01-30,ISNE,ISO New England,NG,Natural Gas,Mountain,Mountain,134930,megawatthours
2026-01-30,ISNE,ISO New England,NG,Natural Gas,Pacific,Pacific,134930,megawatthours
2026-01-30,ISNE,ISO New England,NUC,Nuclear,Arizona,Arizona,82576,megawatthours
2026-01-30,ISNE,ISO New England,NUC,Nuclear,Central,Central,82576,megawatthours
2026-01-30,ISNE,ISO New England,NUC,Nuclear,Eastern,Eastern,82661,megawatthours
2026-01-30,ISNE,ISO New England,NUC,Nuclear,Mountain,Mountain,82576,megawatthours
2026-01-30,ISNE,ISO New England,NUC,Nuclear,Pacific,Pacific,82576,megawatthours
2026-01-30,ISNE,ISO New England,OIL,Petroleum,Arizona,Arizona,106108,megawatthours
2026-01-30,ISNE,ISO New England,OIL,Petroleum,Central,Central,106108,megawatthours
2026-01-30,ISNE,ISO New England,OIL,Petroleum,Eastern,Eastern,105145,megawatthours
2026-01-30,ISNE,ISO New England,OIL,Petroleum,Mountain,Mountain,106108,megawatthours
2026-01-30,ISNE,ISO New England,OIL,Petroleum,Pacific,Pacific,106108,megawatthours
2026-01-30,ISNE,ISO New England,OTH,Other,Arizona,Arizona,14558,megawatthours
2026-01-30,ISNE,ISO New England,OTH,Other,Central,Central,14558,megawatthours
2026-01-30,ISNE,ISO New England,OTH,Other,Eastern,Eastern,14555,megawatthours
2026-01-30,ISNE,ISO New England,OTH,Other,Mountain,Mountain,14558,megawatthours
2026-01-30,ISNE,ISO New England,OTH,Other,Pacific,Pacific,14558,megawatthours
2026-01-30,ISNE,ISO New England,PS,Pumped storage,Arizona,Arizona,6439,megawatthours
2026-01-30,ISNE,ISO New England,PS,Pumped storage,Central,Central,6439,megawatthours
2026-01-30,ISNE,ISO New England,PS,Pumped storage,Eastern,Eastern,6415,megawatthours
2026-01-30,ISNE,ISO New England,PS,Pumped storage,Mountain,Mountain,6439,megawatthours
2026-01-30,ISNE,ISO New England,PS,Pumped storage,Pacific,Pacific,6439,megawatthours
2026-01-30,ISNE,ISO New England,SNB,Solar with integrated battery storage,Arizona,Arizona,12,megawatthours
2026-01-30,ISNE,ISO New England,SNB,Solar with integrated battery storage,Central,Central,12,megawatthours
2026-01-30,ISNE,ISO New England,SNB,Solar with integrated battery storage,Eastern,Eastern,12,megawatthours
2026-01-30,ISNE,ISO New England,SNB,Solar with integrated battery storage,Mountain,Mountain,12,megawatthours
2026-01-30,ISNE,ISO New England,SNB,Solar with integrated battery storage,Pacific,Pacific,12,megawatthours
2026-01-30,ISNE,ISO New England,SUN,Solar,Arizona,Arizona,1377,megawatthours
2026-01-30,ISNE,ISO New England,SUN,Solar,Central,Central,1377,megawatthours
2026-01-30,ISNE,ISO New England,SUN,Solar,Eastern,Eastern,1377,megawatthours
2026-01-30,ISNE,ISO New England,SUN,Solar,Mountain,Mountain,1377,megawatthours
2026-01-30,ISNE,ISO New England,SUN,Solar,Pacific,Pacific,1377,megawatthours
2026-01-30,ISNE,ISO New England,WAT,Hydro,Arizona,Arizona,15913,megawatthours
2026-01-30,ISNE,ISO New England,WAT,Hydro,Central,Central,15913,megawatthours
2026-01-30,ISNE,ISO New England,WAT,Hydro,Eastern,Eastern,15930,megawatthours
2026-01-30,ISNE,ISO New England,WAT,Hydro,Mountain,Mountain,15913,megawatthours
2026-01-30,ISNE,ISO New England,WAT,Hydro,Pacific,Pacific,15913,megawatthours
2026-01-30,ISNE,ISO New England,WND,Wind,Arizona,Arizona,30127,megawatthours
2026-01-30,ISNE,ISO New England,WND,Wind,Central,Central,30127,megawatthours
2026-01-30,ISNE,ISO New England,WND,Wind,Eastern,Eastern,30294,megawatthours
2026-01-30,ISNE,ISO New England,WND,Wind,Mountain,Mountain,30127,megawatthours
2026-01-30,ISNE,ISO New England,WND,Wind,Pacific,Pacific,30127,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",BAT,Battery storage,Arizona,Arizona,-299,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",BAT,Battery storage,Central,Central,-299,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",BAT,Battery storage,Eastern,Eastern,-205,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",BAT,Battery storage,Mountain,Mountain,-299,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",BAT,Battery storage,Pacific,Pacific,-299,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,Arizona,Arizona,731570,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,Central,Central,731570,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,Eastern,Eastern,732659,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,Mountain,Mountain,731570,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,Pacific,Pacific,731570,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,Arizona,Arizona,757902,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,Central,Central,757902,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,Eastern,Eastern,758795,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,Mountain,Mountain,757902,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,Pacific,Pacific,757902,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,Arizona,Arizona,283600,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,Central,Central,283600,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,Eastern,Eastern,283603,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,Mountain,Mountain,283600,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,Pacific,Pacific,283600,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,Arizona,Arizona,10926,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,Central,Central,10926,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,Eastern,Eastern,10924,megawatthours
