respondent,period,fossil,nuclear,other,renewable,total_generation,renewable_pct,fossil_pct
CISO,2026-01-13,488049.0,271187.0,90957.0,893573.0,1743766.0,51.24,27.99
CISO,2026-01-14,481348.0,271239.0,90184.0,909807.0,1752578.0,51.91,27.47
CISO,2026-01-15,409324.0,271052.0,90412.0,865552.0,1636340.0,52.9,25.01
CISO,2026-01-16,392236.0,271179.0,90846.0,903507.0,1657768.0,54.5,23.66
CISO,2026-01-17,300534.0,271217.0,90529.0,873025.0,1535305.0,56.86,19.57
CISO,2026-01-18,254963.0,271325.0,96674.0,818828.0,1441790.0,56.79,17.68
CISO,2026-01-19,425719.0,271247.0,96708.0,907420.0,1701094.0,53.34,25.03
CISO,2026-01-20,594531.0,271253.0,96372.0,802600.0,1764756.0,45.48,33.69
CISO,2026-01-21,854836.0,271239.0,96523.0,661476.0,1884074.0,35.11,45.37
CISO,2026-01-22,989979.0,271179.0,96270.0,651353.0,2008781.0,32.43,49.28
CISO,2026-01-23,894445.0,271269.0,96740.0,853908.0,2116362.0,40.35,42.26
CISO,2026-01-24,822512.0,271320.0,97386.0,874111.0,2065329.0,42.32,39.82
CISO,2026-01-25,835860.0,271350.0,97585.0,859485.0,2064280.0,41.64,40.49
ERCO,2026-01-13,3782980.0,613653.0,1899.0,1726960.0,6125492.0,28.19,61.76
ERCO,2026-01-14,2638787.0,613774.0,-79515.0,2858287.0,6031333.0,47.39,43.75
ERCO,2026-01-15,2888519.0,614411.0,5693.0,2736987.0,6245610.0,43.82,46.25
ERCO,2026-01-16,2438113.0,614612.0,-23959.0,3069376.0,6098142.0,50.33,39.98
ERCO,2026-01-17,3121446.0,614678.0,4262.0,2769870.0,6510256.0,42.55,47.95
ERCO,2026-01-18,3508138.0,614707.0,-49350.0,2596542.0,6670037.0,38.93,52.6
ERCO,2026-01-19,3221491.0,614634.0,-60657.0,2791669.0,6567137.0,42.51,49.05
ERCO,2026-01-20,4018581.0,612822.0,-6440.0,1818104.0,6443067.0,28.22,62.37
ERCO,2026-01-21,3399959.0,614502.0,-318.0,1945567.0,5959710.0,32.65,57.05
ERCO,2026-01-22,4123366.0,614300.0,-35948.0,1299250.0,6000968.0,21.65,68.71
ERCO,2026-01-23,3552313.0,614063.0,-70897.0,2213346.0,6308825.0,35.08,56.31
ERCO,2026-01-24,5362949.0,614194.0,-15961.0,1577486.0,7538668.0,20.93,71.14
ERCO,2026-01-25,6234281.0,614578.0,-11408.0,1601505.0,8438956.0,18.98,73.88
ERCO,2026-01-26,5546205.0,614823.0,23118.0,1935428.0,8119574.0,23.84,68.31
ERCO,2026-01-27,4978012.0,614496.0,9693.0,2077883.0,7680084.0,27.06,64.82
ERCO,2026-01-28,4229726.0,614455.0,-74897.0,2236476.0,7005760.0,31.92,60.37
ERCO,2026-01-29,3376195.0,615181.0,-54176.0,2846830.0,6784030.0,41.96,49.77
ERCO,2026-01-30,4570846.0,614841.0,8991.0,1801433.0,6996111.0,25.75,65.33
ISNE,2026-01-13,871571.0,395413.0,40334.0,238314.0,1545632.0,15.42,56.39
ISNE,2026-01-14,862667.0,394628.0,34007.0,232707.0,1524009.0,15.27,56.61
ISNE,2026-01-15,797938.0,402306.0,38713.0,233893.0,1472850.0,15.88,54.18
ISNE,2026-01-16,773277.0,436035.0,41578.0,333273.0,1584163.0,21.04,48.81
ISNE,2026-01-17,854557.0,439703.0,28145.0,233752.0,1556157.0,15.02,54.91
ISNE,2026-01-18,876828.0,440714.0,20663.0,202276.0,1540481.0,13.13,56.92
ISNE,2026-01-19,930287.0,436763.0,38000.0,228502.0,1633552.0,13.99,56.95
ISNE,2026-01-20,912892.0,436344.0,36955.0,333743.0,1719934.0,19.4,53.08
ISNE,2026-01-21,913847.0,437155.0,51233.0,264372.0,1666607.0,15.86,54.83
ISNE,2026-01-22,779555.0,434912.0,50246.0,276743.0,1541456.0,17.95,50.57
ISNE,2026-01-23,729048.0,440852.0,78876.0,323034.0,1571810.0,20.55,46.38
ISNE,2026-01-24,563077.0,419212.0,710915.0,334697.0,2027901.0,16.5,27.77
ISNE,2026-01-25,629000.0,403481.0,862891.0,239277.0,2134649.0,11.21,29.47
ISNE,2026-01-26,610569.0,410671.0,668592.0,255041.0,1944873.0,13.11,31.39
ISNE,2026-01-27,610894.0,430277.0,671728.0,252240.0,1965139.0,12.84,31.09
ISNE,2026-01-28,575093.0,428634.0,638183.0,256689.0,1898599.0,13.52,30.29
ISNE,2026-01-29,598465.0,423293.0,592948.0,301819.0,1916525.0,15.75,31.23
ISNE,2026-01-30,674768.0,412965.0,566811.0,310056.0,1964600.0,15.78,34.35
MISO,2026-01-13,0.0,0.0,-3042.0,0.0,-3042.0,-0.0,-0.0
MISO,2026-01-14,5305712.0,1429966.0,788.0,2856052.0,9592518.0,29.77,55.31
MISO,2026-01-15,6316445.0,1432145.0,1781.0,2666958.0,10417329.0,25.6,60.63
MISO,2026-01-16,5699901.0,1429523.0,-4522.0,3151049.0,10275951.0,30.66,55.47
MISO,2026-01-17,5830834.0,1430320.0,-5133.0,3008023.0,10264044.0,29.31,56.81
MISO,2026-01-18,6474053.0,1429710.0,1333.0,2670129.0,10575225.0,25.25,61.22
MISO,2026-01-19,6749490.0,1428805.0,200.0,2805204.0,10983699.0,25.54,61.45
MISO,2026-01-20,7660146.0,1426473.0,-2171.0,1492598.0,10577046.0,14.11,72.42
MISO,2026-01-21,6079681.0,1424564.0,-6146.0,2737177.0,10235276.0,26.74,59.4
MISO,2026-01-22,5742452.0,1424076.0,-101.0,2959250.0,10125677.0,29.23,56.71
MISO,2026-01-23,7016935.0,1425459.0,2331.0,1830264.0,10274989.0,17.81,68.29
MISO,2026-01-24,7716673.0,1425823.0,-5874.0,1414186.0,10550808.0,13.4,73.14
MISO,2026-01-25,7806499.0,1424397.0,1128.0,1528209.0,10760233.0,14.2,72.55
MISO,2026-01-26,7381583.0,1421782.0,1836.0,2886002.0,11691203.0,24.69,63.14
MISO,2026-01-27,7121430.0,1417416.0,-2997.0,2951681.0,11487530.0,25.69,61.99
MISO,2026-01-28,7863510.0,1417652.0,-3855.0,1843786.0,11121093.0,16.58,70.71
MISO,2026-01-29,8270378.0,1418703.0,1495.0,969500.0,10660076.0,9.09,77.58
MISO,2026-01-30,7449342.0,1418003.0,-1401.0,2138158.0,11004102.0,19.43,67.7
NYIS,2026-01-14,1001533.0,405553.0,0.0,460644.0,1867730.0,24.66,53.62
NYIS,2026-01-15,1064871.0,405810.0,0.0,507434.0,1978115.0,25.65,53.83
NYIS,2026-01-16,1102769.0,406965.0,295.0,525447.0,2035476.0,25.81,54.18
NYIS,2026-01-17,1045379.0,406482.0,0.0,493769.0,1945630.0,25.38,53.73
NYIS,2026-01-18,982026.0,408640.0,0.0,485032.0,1875698.0,25.86,52.36
NYIS,2026-01-19,1036104.0,408863.0,1110.0,561373.0,2007450.0,27.96,51.61
NYIS,2026-01-20,1108938.0,408715.0,886.0,589577.0,2108116.0,27.97,52.6
NYIS,2026-01-21,1167594.0,408413.0,11924.0,616297.0,2204228.0,27.96,52.97
NYIS,2026-01-22,1036773.0,402204.0,0.0,554544.0,1993521.0,27.82,52.01
NYIS,2026-01-23,1115381.0,410510.0,6865.0,532729.0,2065485.0,25.79,54.0
NYIS,2026-01-24,1322971.0,416505.0,22935.0,396623.0,2159034.0,18.37,61.28
NYIS,2026-01-25,1373571.0,408041.0,76095.0,427971.0,2285678.0,18.72,60.09
NYIS,2026-01-26,1337871.0,409754.0,78548.0,413233.0,2239406.0,18.45,59.74
NYIS,2026-01-27,1409391.0,405447.0,67289.0,487538.0,2369665.0,20.57,59.48
NYIS,2026-01-28,1399476.0,409569.0,39783.0,423394.0,2272222.0,18.63,61.59
NYIS,2026-01-29,1355627.0,408950.0,46840.0,480176.0,2291593.0,20.95,59.16
NYIS,2026-01-30,1426266.0,410890.0,21925.0,488675.0,2347756.0,20.81,60.75
PJM,2026-01-14,7030104.0,4042202.0,31440.0,1444887.0,12548633.0,11.51,56.02
PJM,2026-01-15,8260760.0,4044859.0,39505.0,1469284.0,13814408.0,10.64,59.8
PJM,2026-01-16,8227840.0,4046777.0,38611.0,1595399.0,13908627.0,11.47,59.16
PJM,2026-01-17,7248636.0,4057509.0,20889.0,1325057.0,12652091.0,10.47,57.29
PJM,2026-01-18,8174738.0,3923486.0,31814.0,1027746.0,13157784.0,7.81,62.13
PJM,2026-01-19,8834327.0,3910735.0,42086.0,1657772.0,14444920.0,11.48,61.16
PJM,2026-01-20,9703998.0,3915413.0,132851.0,1472641.0,15224903.0,9.67,63.74
PJM,2026-01-21,8763655.0,3973973.0,129810.0,1592914.0,14460352.0,11.02,60.6
PJM,2026-01-22,7711102.0,4041058.0,24736.0,1515817.0,13292713.0,11.4,58.01
PJM,2026-01-23,9059927.0,4047514.0,89318.0,1248847.0,14445606.0,8.65,62.72
PJM,2026-01-24,10205961.0,4047511.0,662722.0,841234.0,15757428.0,5.34,64.77
PJM,2026-01-25,9186276.0,4042001.0,550332.0,1190972.0,14969581.0,7.96,61.37
PJM,2026-01-26,9445683.0,4040750.0,401609.0,1456920.0,15344962.0,9.49,61.56
PJM,2026-01-27,9906464.0,4038986.0,469336.0,1437791.0,15852577.0,9.07,62.49
PJM,2026-01-28,10130743.0,4039023.0,284147.0,1307364.0,15761277.0,8.29,64.28
PJM,2026-01-29,10567860.0,4037620.0,316624.0,1042321.0,15964425.0,6.53,66.2
PJM,2026-01-30,10412117.0,4036545.0,495260.0,1011436.0,15955358.0,6.34,65.26
SWPP,2026-01-14,2178000.0,245400.0,0.0,1321080.0,3744480.0,35.28,58.17
SWPP,2026-01-15,2157492.0,245368.0,0.0,1341208.0,3744068.0,35.82,57.62
SWPP,2026-01-16,1152175.0,241771.0,0.0,2345573.0,3739519.0,62.72,30.81
SWPP,2026-01-17,1995776.0,244775.0,535.0,2127648.0,4368734.0,48.7,45.68
SWPP,2026-01-18,1808613.0,243882.0,0.0,2329615.0,4382110.0,53.16,41.27
SWPP,2026-01-19,2549932.0,244561.0,370.0,1763845.0,4558708.0,38.69,55.94
SWPP,2026-01-20,2543899.0,244590.0,370.0,1771207.0,4560066.0,38.84,55.79
SWPP,2026-01-21,2163880.0,244481.0,290.0,1821006.0,4229657.0,43.05,51.16
SWPP,2026-01-22,2504937.0,243998.0,1680.0,1660814.0,4411429.0,37.65,56.78
SWPP,2026-01-23,2515785.0,243739.0,3340.0,2220204.0,4983068.0,44.55,50.49
SWPP,2026-01-24,3620950.0,244149.0,29972.0,1395239.0,5290310.0,26.37,68.44
SWPP,2026-01-25,3546491.0,243695.0,39934.0,1443862.0,5273982.0,27.38,67.25
SWPP,2026-01-26,2997390.0,243666.0,39368.0,1969060.0,5249484.0,37.51,57.1
SWPP,2026-01-27,3214574.0,243907.0,43130.0,1227449.0,4729060.0,25.96,67.97
SWPP,2026-01-28,3085551.0,243617.0,20600.0,1370674.0,4720442.0,29.04,65.37
SWPP,2026-01-29,2737615.0,244029.0,2494.0,1713832.0,4697970.0,36.48,58.27
SWPP,2026-01-30,3158261.0,244090.0,595.0,1443418.0,4846364.0,29.78,65.17
